Display Name,Process Name,Message snippit,match_exact_process_name
ZeroTier 1,MacEthernetTapAgent,ZeroTier,TRUE
ZeroTier 2,zerotier-one,ZeroTier,TRUE
ZeroTier 3,ZeroTier,ZeroTier,TRUE
Zabbix,zabbix_agentd,Zabbix,TRUE
RealVNC,VNC Server,RealVNC,TRUE
ToDesk,ToDesk,ToDesk,TRUE
Teamviewer,Teamviewer,Teamviewer,TRUE
Tactical RMM 1,meshagent,Tactical RMM,TRUE
Tactical RMM 2,tacticalagent,Tactical RMM,TRUE
Tailscale,tailscaled,Tailscale,TRUE
Supremo,Supremo,Supremo,TRUE
DeskRoll,DeskRoll,DeskRoll,TRUE
RustDesk,RustDesk,RustDesk,TRUE
Royal TS,Royal TSX,Royal TS,FALSE
RemotePC,RemotePC,RemotePC,FALSE
Remote.it,Remote.it,Remote.it,TRUE
Pcvisit 1,Supporter-Modul,Pcvisit,TRUE
Pcvisit 2,pcvisit_client,Pcvisit,TRUE
Pcvisit 3,Remote-Host,Pcvisit,TRUE
NoMachine,NoMachine,NoMachine,FALSE
ngrok,ngrok,ngrok,TRUE
LiteManager,LiteManager,LiteManager,TRUE
Jump Desktop,Jump Desktop,Jump Desktop,TRUE
ISL Light,ISL Light Client,ISL Light,TRUE
Iperius Remote,Iperius Remote,Iperius Remote,TRUE
gotoHTTP,gotoHTTP,gotoHTTP,TRUE
GoToAssist,GoToAssistRemoteSupport,GoToAssist,TRUE
GetScreen,getscreen.me,GetScreen,TRUE
ezHelp,ezHelp,ezHelp,TRUE
dwservice,dwagent,dwservice,TRUE
Dev Tunnels,devtunnel,Dev Tunnels,TRUE
Datto,AEMAgent,Datto,TRUE
ConnectWise Control,ScreenConnect Client,ConnectWise Control,TRUE
BeAnywhere,rmmagentd,BeAnywhere,TRUE
AnyDesk,AnyDesk,AnyDesk,TRUE
Alpemix,AlpemixPro,Alpemix,TRUE
