Display Name,Process Name,Message snippit,match_exact_process_name
RealVNC,VNC Server,RealVNC,TRUE
ToDesk,ToDesk,ToDesk,TRUE
Teamviewer,Teamviewer,Teamviewer,TRUE
Tactical RMM 1,meshagent,Tactical RMM,TRUE
Tactical RMM 2,tacticalagent,Tactical RMM,TRUE
Tailscale,tailscaled,Tailscale,TRUE
Supremo,Supremo,Supremo,TRUE
DeskRoll,DeskRoll,DeskRoll,TRUE
RustDesk,RustDesk,RustDesk,TRUE
Royal TS,Royal TSX,Royal TS,FALSE
RemotePC,RemotePC,RemotePC,FALSE
Remote.it,Remote.it,Remote.it,TRUE
Pcvisit,Supporter-Modul,Pcvisit,TRUE
Pcvisit,pcvisit_client,Pcvisit,TRUE
Pcvisit,Remote-Host,Pcvisit,TRUE
NoMachine,NoMachine,NoMachine,FALSE
LiteManager,LiteManager,LiteManager,TRUE
Jump Desktop,Jump Desktop,Jump Desktop,TRUE
ISL Light,ISL Light Client,ISL Light,TRUE
Iperius Remote,Iperius Remote,Iperius Remote,TRUE
gotoHTTP,gotoHTTP,gotoHTTP,TRUE
GoToAssist,GoToAssistRemoteSupport,GoToAssist,TRUE
GetScreen,getscreen.me,GetScreen,TRUE
ezHelp,ezHelp,ezHelp,TRUE
dwservice,dwagent,dwservice,TRUE
Dev Tunnels,devtunnel,Dev Tunnels,TRUE
Datto,AEMAgent,Datto,TRUE
ConnectWise Control,ScreenConnect Client,ConnectWise Control,TRUE
BeAnywhere,rmmagentd,BeAnywhere,TRUE
AnyDesk,AnyDesk,AnyDesk,TRUE
Alpemix,AlpemixPro,Alpemix,TRUE
